model,dataset,csv,sweep_samples,search_iterations,candidate_iterations,max_concurrency,max_runners,dpu_cores,warmup,final_warmup,final_repeats,quick_sweep,stage,run_id,repeat,profile,runners,pre_workers,post_workers,slots_per_runner,total_slots,pin,iterations,samples,cpu_cores,throughput_fps,latency_mean_ms,latency_median_ms,latency_min_ms,latency_max_ms,latency_p95_ms,latency_p99_ms,dpu_mean_ms,preprocess_mean_ms,postprocess_mean_ms,io_mean_ms,wall_s,power_sensor_count,power_samples,power_mean_w,power_min_w,power_max_w,energy_j,status,result_dir
"methane_mobilenet_v3.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,10_model_runners,10_model_runners__max_model_only__r1_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-model-only,1,1,1,1,1,false,5,5,0,4.78308183395,208.811352,208.80747,208.64021,208.92683,208.923144,208.9260928,208.811352,0,0,0,1.04535113,1,7,14.6444285714,14.412,14.7,15.3085699553,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_mobilenet_v3/runs/10_model_runners__max_model_only__r1_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_mobilenet_v3.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,10_model_runners,10_model_runners__max_model_only__r2_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-model-only,2,1,1,1,2,false,5,5,0,7.9241776645,211.365444,210.459,209.16478,213.99109,213.796384,213.9521488,211.365444,0,0,0,0.6309803,1,5,14.7274,14.425,14.925,9.29269927022,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_mobilenet_v3/runs/10_model_runners__max_model_only__r2_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_mobilenet_v3.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,20_e2e_runners,20_e2e_runners__max_e2e__r2_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-e2e,2,2,1,1,2,false,5,5,0,4.40890623043,513.42271,582.68864,385.93623,611.5613,608.036994,610.8564388,211.426444,165.267216,6.098178,126.065022,1.13406812,1,7,14.7427142857,14.425,14.987,16.7192422737,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_mobilenet_v3/runs/20_e2e_runners__max_e2e__r2_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_mobilenet_v3.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,20_e2e_runners,20_e2e_runners__max_e2e__r1_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-e2e,1,2,1,1,1,false,5,5,0,2.63271022295,814.217338,967.47093,384.02237,976.14992,976.073328,976.1346016,209.026956,164.40698,6.078042,125.299682,1.89918357,1,11,14.7213636364,14.425,15.387,27.9585719462,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_mobilenet_v3/runs/20_e2e_runners__max_e2e__r1_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_mobilenet_v3.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,30_pre_workers,30_pre_workers__max_e2e__r2_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-e2e,2,1,1,1,2,false,5,5,0,4.41838442039,402.251694,402.6512,384.348,423.26458,419.995316,422.6107272,213.03802,163.200686,6.14152,123.997558,1.13163535,1,7,15.0427142857,14.412,16.075,17.0228672457,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_mobilenet_v3/runs/30_pre_workers__max_e2e__r2_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_mobilenet_v3.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,30_pre_workers,30_pre_workers__max_e2e__r2_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-e2e,2,2,1,1,2,false,5,5,0,4.35864211421,517.500734,590.69397,390.86932,605.41741,605.028884,605.3397048,211.860328,166.39805,6.141558,126.869066,1.14714626,1,7,14.9855714286,14.425,16.387,17.1906422182,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_mobilenet_v3/runs/30_pre_workers__max_e2e__r2_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_mobilenet_v3.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,60_final_c1,60_final_c1__max_e2e__r2_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-e2e,2,1,1,1,2,false,5,5,0,4.41608119145,400.256772,395.89757,384.15082,423.77415,421.16164,423.251648,210.98802,163.136064,6.140076,123.889792,1.13222556,1,7,14.8872857143,14.412,15.45,16.8557654047,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_mobilenet_v3/runs/60_final_c1__max_e2e__r2_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_mobilenet_v3.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,60_final_c2,60_final_c2__max_e2e__r2_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-e2e,2,2,1,1,2,false,5,5,0,4.3996422035,516.58235,585.48871,386.5217,617.09063,612.696342,616.2117724,212.971498,165.277466,6.100264,126.042514,1.13645605,1,7,14.7568571429,14.412,15.062,16.770519579,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_mobilenet_v3/runs/60_final_c2__max_e2e__r2_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_mobilenet_v3.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,60_final_c3,60_final_c3__max_e2e__r1_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-e2e,1,2,1,1,1,false,5,5,0,2.63580297423,813.167452,965.63957,384.08571,975.08577,974.865936,975.0418032,208.779966,164.227464,6.04882,125.116696,1.89695514,1,11,14.9145454545,14.412,15.75,28.2922236608,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_mobilenet_v3/runs/60_final_c3__max_e2e__r1_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_mobilenet_v3.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,70_full_model_only,70_full_model_only__max_model_only__r2_pre1_post1_spr1_nopin__rep1__n0__samples0__cpu1,1,max-model-only,2,1,1,1,2,false,342,0,1,5.01914437932,398.427158596,399.04549,381.43426,414.95955,406.946188,413.5598606,398.427158596,0,0,0,68.13910383,1,341,15.1248914956,14.4,17.85,1030.59655204,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_mobilenet_v3/runs/70_full_model_only__max_model_only__r2_pre1_post1_spr1_nopin__rep1__n0__samples0__cpu1"
